              ST   ST_conf
M       0.486315  0.143098
R       0.879783  0.145091
V_s30   0.570534  0.167141
F       0.491528  0.124767
m_b     0.547727  0.173759
kesi    0.505379  0.122577
P_nsq   0.677803  0.199612
M_bcj   0.519717  0.150023
M_gcw   0.623631  0.202756
M_wp    0.569552  0.137913
M_sc    0.675908  0.193172
M_ele   0.540863  0.144915
M_hvac  0.527131  0.151895
M_rf    0.519806  0.188903
S_rf    0.477406  0.149835
C_rep   0.394569  0.115229
              S1   S1_conf
M      -0.025369  0.087836
R       0.448326  0.169896
V_s30  -0.026110  0.061355
F      -0.034459  0.059742
m_b    -0.054147  0.066238
kesi   -0.027965  0.060067
P_nsq  -0.053778  0.065717
M_bcj  -0.038578  0.071078
M_gcw  -0.048830  0.069262
M_wp   -0.013388  0.066871
M_sc   -0.023883  0.069097
M_ele  -0.059452  0.057033
M_hvac -0.039725  0.063854
M_rf   -0.035223  0.053154
S_rf   -0.025668  0.063977
C_rep  -0.016938  0.063348
