                  ST     ST_conf
M       5.373384e-04    0.000549
R       1.003695e-01    0.102547
V_s30   1.766689e-03    0.001805
F       0.000000e+00    0.000000
m_b     5.268373e-05    0.000054
kesi    4.343172e-04  255.796961
P_nsq   0.000000e+00    0.000000
M_bcj   1.448092e-06    0.852873
M_gcw   5.293666e-03    0.005409
M_wp    1.977386e-07    0.116461
M_sc    5.205410e-02    0.053184
M_ele   2.003514e-03   90.012362
M_hvac  3.726649e-04    0.000381
M_rf    7.004629e-04    0.000716
S_rf    0.000000e+00    0.000000
C_rep   7.274423e-03    0.007432
              S1      S1_conf
M       0.050911     0.052015
R       0.695802     0.710901
V_s30   0.092313     0.094317
F       0.000000     0.000000
m_b     0.015941     0.016287
kesi   -0.002312  1361.831175
P_nsq   0.000000     0.000000
M_bcj  -0.000134    78.635359
M_gcw   0.159795     0.163263
M_wp   -0.000049    29.057986
M_sc    0.501086     0.511960
M_ele   0.093111   807.938060
M_hvac  0.042398     0.043318
M_rf    0.058127     0.059388
S_rf    0.000000     0.000000
C_rep   0.187320     0.191385
