              ST   ST_conf
M       1.535309  2.243623
R       0.950927  0.232685
V_s30   0.538572  0.212926
F       0.541893  0.187588
m_b     0.443712  0.140943
kesi    0.547131  0.217927
P_nsq   0.552576  0.210114
M_bcj   0.560075  0.224891
M_gcw   0.396198  0.169581
M_wp    0.514733  0.163915
M_sc    0.505381  0.175785
M_ele   0.466750  0.153537
M_hvac  0.656969  0.201396
M_rf    0.566996  0.211882
S_rf    0.631703  0.292916
C_rep   0.557426  0.186497
              S1   S1_conf
M      -0.019297  0.107112
R       0.442128  0.193996
V_s30  -0.033001  0.094813
F       0.008182  0.105225
m_b    -0.017223  0.087670
kesi   -0.029212  0.105201
P_nsq  -0.000135  0.082154
M_bcj   0.028049  0.084093
M_gcw  -0.049462  0.106483
M_wp    0.009258  0.088682
M_sc   -0.001866  0.107930
M_ele   0.003882  0.109307
M_hvac -0.080168  0.128274
M_rf   -0.017730  0.126397
S_rf    0.021518  0.139116
C_rep  -0.009157  0.088074
